0.453648	0.59828	0.717037	0.789835	0.803557	0.752849	0.640518	0.477796	0.285555	0.100345
0.59828	0.634649	0.671017	0.68769	0.671543	0.616263	0.522409	0.397327	0.255061	0.115825
0.717037	0.671017	0.644692	0.618367	0.578661	0.518253	0.435529	0.33404	0.221538	0.107893
0.789835	0.68769	0.618367	0.562424	0.506481	0.442557	0.367415	0.281768	0.189158	0.0942075
0.803557	0.671543	0.578661	0.506481	0.442281	0.378081	0.309807	0.236456	0.159119	0.0797794
0.752849	0.616263	0.518253	0.442558	0.378081	0.317679	0.257277	0.19513	0.131084	0.0657908
0.640518	0.522409	0.43553	0.367416	0.309808	0.257277	0.20649	0.155704	0.104296	0.0522997
0.477796	0.397327	0.33404	0.281768	0.236456	0.19513	0.155704	0.1169	0.0780956	0.0391122
0.285555	0.255061	0.221538	0.189158	0.15912	0.131084	0.104296	0.0780956	0.0520745	0.0260533
0.100345	0.115825	0.107893	0.0942076	0.0797795	0.0657909	0.0522997	0.0391122	0.0260533	0.0130267


0.166876
